id,instrumentid,footprint
61,38,"POLYGON ((-0.46145 -0.0023, -0.46176 -0.1522, -0.16206 -0.15285, -0.16174 -0.00284, -0.46145 -0.0023))"
62,38,"POLYGON ((-0.15034 -0.00289, -0.1507 -0.1529, 0.14932 -0.15351, 0.14971 -0.0035, -0.15034 -0.00289))"
63,38,"POLYGON ((0.16085 -0.00372, 0.16057 -0.15373, 0.46024 -0.154, 0.46054 -0.00411, 0.16085 -0.00372))"
64,38,"POLYGON ((0.47203 -0.00414, 0.47162 -0.15403, 0.77045 -0.15445, 0.77086 -0.00475, 0.47203 -0.00414))"
65,38,"POLYGON ((0.7823 -0.00485, 0.78184 -0.15454, 1.08026 -0.15511, 1.08068 -0.00556, 0.7823 -0.00485))"
66,38,"POLYGON ((-0.9268999999999999 -0.16582, -0.92714 -0.31541, -0.62858 -0.31627, -0.6284 -0.16654, -0.9268999999999999 -0.16582))"
67,38,"POLYGON ((-0.61714 -0.16665, -0.61733 -0.31638, -0.31808 -0.31722, -0.31784 -0.16735, -0.61714 -0.16665))"
68,38,"POLYGON ((-0.30634 -0.16734, -0.30658 -0.31721, -0.00673 -0.31783, -0.0064 -0.1679, -0.30634 -0.16734))"
69,38,"POLYGON ((0.00503 -0.16814, 0.00467 -0.31806, 0.30451 -0.31851, 0.30496 -0.16865, 0.00503 -0.16814))"
70,38,"POLYGON ((0.31631 -0.1687, 0.31586 -0.31857, 0.61509 -0.31884, 0.61559 -0.16912, 0.31631 -0.1687))"
71,38,"POLYGON ((0.62681 -0.16919, 0.62629 -0.31891, 0.92479 -0.31917, 0.92527 -0.1696, 0.62681 -0.16919))"
72,38,"POLYGON ((-0.92726 -0.3301, -0.92747 -0.47964, -0.62879 -0.4805, -0.62869 -0.33091, -0.92726 -0.3301))"
73,38,"POLYGON ((-0.61763 -0.33112, -0.61773 -0.48071, -0.31856 -0.48164, -0.31838 -0.33194, -0.61763 -0.33112))"
74,38,"POLYGON ((-0.30667 -0.33204, -0.30696 -0.48173, -0.00726 -0.48259, -0.00683 -0.33286, -0.30667 -0.33204))"
75,38,"POLYGON ((0.00427 -0.33295, 0.00395 -0.48268, 0.30365 -0.48301, 0.3041 -0.33332, 0.00427 -0.33295))"
