,lsstg,lssti,lsstr,lsstu,lssty,lsstz
79,-4.815397771508723,-9.56111383342069,-7.669452562332591,-1.3666972474603643,-11.45343388697427,-10.787622797641028
80,-4.639458466729398,-9.494245708380621,-7.497542514358529,-1.2545870847274865,-11.392987883316515,-10.712012492476301
81,-4.395849271570732,-9.489762502933358,-7.472300140751034,-1.1171269494930323,-11.34650794961888,-10.659052716078259
82,-4.256343260785726,-9.377895968388163,-7.376600534146257,-1.0269177730405308,-11.297273184958952,-10.593309232869114
83,-4.0943336874678815,-9.320838564029152,-7.294415837333946,-0.9234191540290302,-11.243940968270316,-10.5421121965921
84,-3.97470868426324,-9.283175800434575,-7.205640447720217,-0.7818018419324417,-11.213055916179842,-10.477223648231032
85,-3.8899659082835045,-9.205184224648647,-7.091822384981668,-0.6761318037252401,-11.153360633747136,-10.475968695888639
86,-3.749423618963696,-9.165098844861626,-7.074979851628827,-0.5837919529463144,-11.133928520581229,-10.437344668869681
87,-3.8243286409882153,-9.11708076211515,-7.006355257120896,-0.4564756041185627,-11.060501574842736,-10.346768064432254
88,-3.8603016323935173,-9.03829934805584,-6.888395745769273,-0.3096419150404044,-11.073259122268375,-10.310505462797611
89,-3.531737354201346,-8.96402628107852,-6.802439772338177,-0.13501487678533167,-10.991110092583083,-10.263335612842631
90,-3.452912583876473,-8.978371037216172,-6.607209710409975,-0.02988365611425917,-10.94396503788202,-10.193876638572254
91,-3.2682008162713676,-8.84513024583943,-6.636809934912228,0.13147365292743182,-10.892762920365087,-10.16994993586878
92,-3.1812638577183865,-8.789010216049576,-6.524262404195418,0.2610312586602339,-10.878640211834739,-10.191773997902631
93,-3.1009142396506983,-8.698527305441766,-6.376653475359758,0.3990031823441885,-10.810233499561717,-10.056228334228791
94,-2.843877895036582,-8.640614218661343,-6.355918174077734,0.4560342615647551,-10.764767225854406,-10.019052156689753
95,-2.6938592248708417,-8.625135194538894,-6.285009739940769,0.6383774632855246,-10.745580722556314,-9.973089444664637
96,-2.39322094667709,-8.448994518279816,-6.099642473864714,0.7374485333413415,-10.675260563302464,-9.87601001582137
97,-2.7672777132926023,-8.297668849538816,-5.92000442761408,0.8610846610394751,-10.582061145128169,-9.737582450499007
98,-2.1320374858518942,-8.166858303037168,-5.767538302674653,0.9659407678267397,-10.452267210140896,-9.625960227010367
99,-2.052315789524668,-8.020933869550856,-5.502258587214088,1.1142083403265424,-10.343880729355057,-9.504163665935216
